img_title,link
"How Sir Ywain was led away of a Child",https://evanwill.github.io/aladore-book/assets/images/aladore_01.jpg
"It was the hour of sparrow-chirp, which comes a little before the rising of the sun",https://evanwill.github.io/aladore-book/assets/images/aladore_02.jpg
"How Ywain looked into the Water of a Well",https://evanwill.github.io/aladore-book/assets/images/aladore_03.jpg
"How the Lady Ailinn saw Two Women of the Sidhe",https://evanwill.github.io/aladore-book/assets/images/aladore_04.jpg
"He saw under the moon that lady sitting",https://evanwill.github.io/aladore-book/assets/images/aladore_05.jpg
"He came to the mirror and stood still to look into it",https://evanwill.github.io/aladore-book/assets/images/aladore_06.jpg
"And as he heard it Ywain forgot all the ills that he had suffered in all his life, and he thought on such a place as might be the land of his desire",https://evanwill.github.io/aladore-book/assets/images/aladore_07.jpg
"How Ywain found his Lady in a Garden",https://evanwill.github.io/aladore-book/assets/images/aladore_08.jpg
"One child held a squirrel between his hands",https://evanwill.github.io/aladore-book/assets/images/aladore_09.jpg
"There was yet another child fast by, which vexed the piper with a barley straw",https://evanwill.github.io/aladore-book/assets/images/aladore_10.jpg
"Upon the rocks was the young faun sitting, and playing on his pipes",https://evanwill.github.io/aladore-book/assets/images/aladore_11.jpg
"How Ywain beheld a Game of Children",https://evanwill.github.io/aladore-book/assets/images/aladore_12.jpg
"There before the doorway stood Aithne in the morning gold",https://evanwill.github.io/aladore-book/assets/images/aladore_13.jpg
"And as she sang she weaved a witch-knot upon the air with both her hands",https://evanwill.github.io/aladore-book/assets/images/aladore_14.jpg
"A Tomb that was found in Paladore",https://evanwill.github.io/aladore-book/assets/images/aladore_15.jpg

