chapter,wordcount
I.,1019
II.,920
III.,1088
IV.,926
V.,923
VI.,516
VII.,1278
VIII.,1113
IX.,1473
X.,1198
XI.,1015
XII.,1124
XIII.,609
XIV.,1079
XV.,980
XVI.,1289
XVII.,1415
XVIII.,1003
XIX.,655
XX.,1953
XXI.,1126
XXII.,1387
XXIII.,714
XXIV.,868
XXV.,855
XXVI.,877
XXVII.,744
XXVIII.,900
XXIX.,2044
XXX.,526
XXXI.,1512
XXXII.,813
XXXIII.,1119
XXXIV.,1064
XXXV.,957
XXXVI.,1327
XXXVII.,1241
XXXVIII.,1158
XXXIX.,1039
XL.,995
XLI.,917
XLII.,1365
XLIII.,1314
XLIV.,736
XLV.,1324
XLVI.,863
XLVII.,866
XLVIII.,1025
XLIX.,890
L.,972
LI.,955
LII.,1172
LIII.,903
LIV.,870
LV.,1420
LVI.,1130
LVII.,524
LVIII.,304
