word,count
"a",1025
"a-bawling",1
"a-bubble",1
"a-building",1
"a-cursing",1
"a-high",1
"a-horseback",2
"a-nesting",1
"a-pairing",1
"a-prick",1
"a-singing",1
"a-tolling",1
"a-wandering",1
"a-weary",1
"aback",1
"abated",1
"abbey",3
"abbot",3
"abed",2
"abide",4
"abiding",6
"able",4
"aboard",4
"about",80
"above",57
"abroad",5
"absent",1
"accompanied",3
"accompanying",1
"accomplished",1
"accorded",2
"according",11
"account",3
"accounted",1
"accursed",3
"accustomed",3
"ached",1
"achieve",3
"achieved",5
"achievement",1
"achieving",1
"achilles",1
"aching",1
"across",5
"added",1
"ado",2
"adown",2
"adread",1
"adrunken",1
"advantage",2
"adventure",21
"adventures",7
"adventuring",1
"adying",1
"aengus",1
"afar",3
"afeard",1
"afeared",3
"affrighted",1
"afoot",3
"aforesaid",1
"aforetime",18
"afraid",5
"afresh",2
"after",88
"afternoon",1
"afterward",4
"afterwards",17
"again",178
"against",69
"age",2
"agleam",1
"ago",1
"agony",2
"agree",1
"agreed",3
"agrief",1
"ah",3
"ahorse",2
"aid",1
"ailinn",13
"ails",1
"aimed",1
"air",17
"aithne",119
"aithne's",3
"aladore",53
"aladore_01",1
"aladore_02",1
"aladore_03",1
"aladore_04",1
"aladore_05",1
"aladore_06",1
"aladore_07",1
"aladore_08",1
"aladore_09",1
"aladore_10",1
"aladore_11",1
"aladore_12",1
"aladore_13",1
"aladore_14",1
"aladore_15",1
"ale-knights",1
"alighted",1
"alike",4
"aline",3
"alive",2
"all",333
"allegiance",1
"alley",1
"almost",1
"aloft",1
"alone",29
"along",9
"aloud",9
"already",4
"also",160
"alt",15
"altar",9
"altogether",1
"always",19
"am",27
"amazed",4
"amazement",2
"ambush",2
"amend",1
"amidst",4
"amiss",1
"among",63
"amongst",2
"an",86
"ancient",6
"ancientry",2
"and",4958
"anear",1
"anew",2
"anger",8
"angered",3
"angriest",1
"angrily",3
"angry",2
"anguishment",1
"anon",3
"another",66
"another's",1
"answer",14
"answered",66
"answering",3
"antiphony",1
"ants",1
"any",27
"anything",2
"apace",1
"apart",8
"apparelled",4
"appetite",1
"apple",2
"apples",1
"appointed",5
"appointing",1
"approve",1
"april",1
"araby",1
"arcady",1
"archbishop",19
"archers",2
"archway",1
"ardour",1
"are",111
"aringing",1
"arisen",1
"arm",3
"armed",6
"armour",9
"armoured",1
"arms",16
"arose",2
"around",1
"arow",1
"arrayed",4
"arrow",1
"arrows",3
"arroy",1
"artificers",1
"as",561
"ashamed",2
"ashes",1
"ashlings",1
"aside",5
"ask",12
"asked",48
"asking's",2
"asleep",3
"aspect",1
"assault",2
"assent",2
"assented",3
"assigned",1
"assotted",3
"assurance",1
"astonished",22
"astounded",1
"astray",1
"at",204
"ate",9
"athwart",1
"attain",1
"attire",1
"aucassin",1
"avoidance",1
"awaiting",1
"awake",1
"awaked",1
"awakened",1
"aware",8
"away",34
"aweary",4
"awful",1
"awhile",1
"awoke",19
"axe",5
"axes",1
"ay",1
"babble",1
"babbling",1
"babe",1
"babes",2
"babylon",1
"back",22
"backs",1
"backward",2
"backwardly",1
"backwards",1
"bade",16
"badge",2
"badges",2
"bagpipes",1
"baile",1
"bailey",2
"baldrick",1
"balk",1
"banded",1
"bands",5
"bane",1
"banish",2
"banished",8
"banishing",1
"bank",22
"banks",1
"banner",8
"banneret",1
"bar",1
"bare",11
"bargain",1
"bark",1
"barking",2
"barley",4
"barn",1
"barred",1
"barren",2
"barriers",2
"bars",1
"bartholomy",27
"bastions",1
"bathe",1
"bathing",1
"bathstead",2
"battered",2
"battle",15
"battlements",7
"bawling",1
"bay",1
"bays",1
"be",257
"be-bled",2
"beach",5
"beads",1
"beam",3
"beams",1
"bear",4
"beard",3
"beards",3
"bearing",2
"bears",1
"beast",8
"beastly",1
"beasts",8
"beat",7
"beaten",4
"beating",2
"beats",1
"beaucaire",1
"beautiful",6
"beauty",13
"became",11
"because",22
"bechanced",2
"become",12
"becomes",1
"becomingly",1
"bed",8
"bedabbled",1
"bedrenched",1
"beds",2
"bedside",2
"bedumbed",1
"bee",1
"beech-tree",2
"beech-trees",1
"beechen",3
"beeches",3
"beechroots",1
"been",75
"bees",3
"befall",2
"befallen",4
"befell",3
"before",165
"began",58
"begin",2
"beginner",1
"beginning",8
"begone",2
"begun",1
"beheld",14
"behind",25
"behold",5
"behoved",2
"being",10
"belief",1
"believe",5
"believed",8
"belike",13
"bell",22
"bell-bound",1
"bell-ringing",1
"bellbound",1
"bells",20
"beloved",22
"below",17
"belt",1
"belted",1
"belting",1
"bench",1
"bending",1
"beneath",39
"benothinged",1
"bent",4
"bents",1
"berry",1
"beseech",2
"beseen",2
"beset",2
"beside",60
"besides",1
"best",8
"bestirred",1
"bestowed",1
"bethink",1
"bethought",3
"betimes",2
"betokens",1
"betook",1
"betrayed",2
"better",15
"bettered",2
"betters",1
"between",49
"bewildered",1
"bewilderment",1
"beyond",46
"bid",4
"bidden",3
"bidding",2
"bier",9
"big",1
"bigness",4
"bird",3
"bird-marks",1
"birds",8
"birth",3
"bishops",1
"bit",3
"bite",1
"bites",1
"bitter",2
"bitterly",2
"bitterness",2
"black",31
"blackened",1
"blamed",1
"blanket",1
"blare",1
"blared",1
"blasphemer",1
"bleating",3
"blessing",1
"blethered",1
"blew",5
"blind",4
"blinded",2
"blindfold",2
"blindly",1
"blindness",1
"blood",34
"bloodheat",1
"blossom",2
"blow",2
"blowing",7
"blown",7
"blue",8
"board",4
"boats",1
"bodli",6
"body",12
"bodycords",1
"boldly",2
"boles",1
"bolted",1
"bondage",1
"bonds",2
"bones",5
"book",12
"books",1
"booming",1
"boon",1
"border",10
"bordure",1
"bordures",2
"bore",10
